Key;day_full;day;month_full;month_nr;month_short;month_name;is_holiday;event;Quarter_full;Quarter;Semester_full;Semester;year;lixo
56;25-02-2002;25;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
57;26-02-2002;26;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
58;27-02-2002;27;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
59;28-02-2002;28;Fev-02;2;FEB;February;No;;2002-Q1;1;2002-S1;1;2002;--
60;01-03-2002;1;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
61;02-03-2002;2;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
62;03-03-2002;3;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
63;04-03-2002;4;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
64;05-03-2002;5;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
65;06-03-2002;6;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
66;07-03-2002;7;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
67;08-03-2002;8;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
68;09-03-2002;9;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
69;10-03-2002;10;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
70;11-03-2002;11;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
71;12-03-2002;12;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
72;13-03-2002;13;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
73;14-03-2002;14;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
74;15-03-2002;15;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
75;16-03-2002;16;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
76;17-03-2002;17;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
77;18-03-2002;18;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
78;19-03-2002;19;Mar-02;3;MAR;March;No;Dia do Pai;2002-Q1;1;2002-S1;1;2002;--
79;20-03-2002;20;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
80;21-03-2002;21;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
81;22-03-2002;22;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
82;23-03-2002;23;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
83;24-03-2002;24;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
84;25-03-2002;25;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
85;26-03-2002;26;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
86;27-03-2002;27;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
87;28-03-2002;28;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
88;29-03-2002;29;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
89;30-03-2002;30;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
90;31-03-2002;31;Mar-02;3;MAR;March;No;;2002-Q1;1;2002-S1;1;2002;--
91;01-04-2002;1;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
92;02-04-2002;2;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
93;03-04-2002;3;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
94;04-04-2002;4;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
95;05-04-2002;5;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
96;06-04-2002;6;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
97;07-04-2002;7;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
98;08-04-2002;8;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
99;09-04-2002;9;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
100;10-04-2002;10;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
101;11-04-2002;11;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
102;12-04-2002;12;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
103;13-04-2002;13;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
104;14-04-2002;14;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
105;15-04-2002;15;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
106;16-04-2002;16;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
107;17-04-2002;17;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
108;18-04-2002;18;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
109;19-04-2002;19;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
110;20-04-2002;20;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
111;21-04-2002;21;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
112;22-04-2002;22;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
113;23-04-2002;23;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
114;24-04-2002;24;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
115;25-04-2002;25;Abr-02;4;APR;April;Sim;Dia da Liberdade;2002-Q2;2;2002-S1;1;2002;--
116;26-04-2002;26;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
117;27-04-2002;27;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
118;28-04-2002;28;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
119;29-04-2002;29;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
120;30-04-2002;30;Abr-02;4;APR;April;No;;2002-Q2;2;2002-S1;1;2002;--
121;01-05-2002;1;Mai-02;5;MAI;May;Sim;Dia do Trabalhador;2002-Q2;2;2002-S1;1;2002;--
122;02-05-2002;2;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
123;03-05-2002;3;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
124;04-05-2002;4;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
125;05-05-2002;5;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
126;06-05-2002;6;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
127;07-05-2002;7;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
128;08-05-2002;8;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
129;09-05-2002;9;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
130;10-05-2002;10;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
131;11-05-2002;11;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
132;12-05-2002;12;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
133;13-05-2002;13;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
134;14-05-2002;14;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
135;15-05-2002;15;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
136;16-05-2002;16;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
137;17-05-2002;17;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
138;18-05-2002;18;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
139;19-05-2002;19;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
140;20-05-2002;20;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
141;21-05-2002;21;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
142;22-05-2002;22;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
143;23-05-2002;23;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
144;24-05-2002;24;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
145;25-05-2002;25;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
146;26-05-2002;26;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
147;27-05-2002;27;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
148;28-05-2002;28;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
149;29-05-2002;29;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
150;30-05-2002;30;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
151;31-05-2002;31;Mai-02;5;MAI;May;No;;2002-Q2;2;2002-S1;1;2002;--
152;01-06-2002;1;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
153;02-06-2002;2;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
154;03-06-2002;3;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
155;04-06-2002;4;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
156;05-06-2002;5;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
157;06-06-2002;6;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
158;07-06-2002;7;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
159;08-06-2002;8;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
160;09-06-2002;9;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
161;10-06-2002;10;Jun-02;6;JUN;June;Sim;Dia de Portugal;2002-Q2;2;2002-S1;1;2002;--
162;11-06-2002;11;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
163;12-06-2002;12;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
164;13-06-2002;13;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
165;14-06-2002;14;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
166;15-06-2002;15;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
167;16-06-2002;16;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
168;17-06-2002;17;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
169;18-06-2002;18;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
170;19-06-2002;19;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
171;20-06-2002;20;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
172;21-06-2002;21;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
173;22-06-2002;22;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
174;23-06-2002;23;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
175;24-06-2002;24;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
176;25-06-2002;25;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
177;26-06-2002;26;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
178;27-06-2002;27;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
179;28-06-2002;28;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
180;29-06-2002;29;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
181;30-06-2002;30;Jun-02;6;JUN;June;No;;2002-Q2;2;2002-S1;1;2002;--
182;01-07-2002;1;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
183;02-07-2002;2;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
184;03-07-2002;3;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
185;04-07-2002;4;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
186;05-07-2002;5;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
187;06-07-2002;6;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
188;07-07-2002;7;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
189;08-07-2002;8;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
190;09-07-2002;9;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
191;10-07-2002;10;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
192;11-07-2002;11;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
193;12-07-2002;12;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
194;13-07-2002;13;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
195;14-07-2002;14;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
196;15-07-2002;15;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
197;16-07-2002;16;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
198;17-07-2002;17;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
199;18-07-2002;18;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
200;19-07-2002;19;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
201;20-07-2002;20;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
202;21-07-2002;21;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
203;22-07-2002;22;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
204;23-07-2002;23;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
205;24-07-2002;24;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
206;25-07-2002;25;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
207;26-07-2002;26;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
208;27-07-2002;27;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
209;28-07-2002;28;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
210;29-07-2002;29;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
211;30-07-2002;30;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
212;31-07-2002;31;Jul-02;7;JUL;July;No;;2002-Q3;3;2002-S2;2;2002;--
213;01-08-2002;1;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
214;02-08-2002;2;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
215;03-08-2002;3;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
216;04-08-2002;4;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
217;05-08-2002;5;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
218;06-08-2002;6;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
219;07-08-2002;7;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
220;08-08-2002;8;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
221;09-08-2002;9;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
222;10-08-2002;10;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
223;11-08-2002;11;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
224;12-08-2002;12;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
225;13-08-2002;13;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
226;14-08-2002;14;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
227;15-08-2002;15;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
228;16-08-2002;16;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
229;17-08-2002;17;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
230;18-08-2002;18;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
231;19-08-2002;19;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
232;20-08-2002;20;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
233;21-08-2002;21;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
234;22-08-2002;22;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
235;23-08-2002;23;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
236;24-08-2002;24;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
237;25-08-2002;25;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
238;26-08-2002;26;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
239;27-08-2002;27;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
240;28-08-2002;28;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
241;29-08-2002;29;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
242;30-08-2002;30;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
243;31-08-2002;31;Ago-02;8;AUG;August;No;;2002-Q3;3;2002-S2;2;2002;--
244;01-09-2002;1;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
245;02-09-2002;2;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
246;03-09-2002;3;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
247;04-09-2002;4;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
248;05-09-2002;5;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
249;06-09-2002;6;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
250;07-09-2002;7;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
251;08-09-2002;8;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
252;09-09-2002;9;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
253;10-09-2002;10;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
254;11-09-2002;11;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
255;12-09-2002;12;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
256;13-09-2002;13;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
257;14-09-2002;14;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
258;15-09-2002;15;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
259;16-09-2002;16;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
260;17-09-2002;17;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
261;18-09-2002;18;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
262;19-09-2002;19;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
263;20-09-2002;20;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
264;21-09-2002;21;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
265;22-09-2002;22;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
266;23-09-2002;23;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
267;24-09-2002;24;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
268;25-09-2002;25;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
269;26-09-2002;26;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
270;27-09-2002;27;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
271;28-09-2002;28;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
272;29-09-2002;29;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
273;30-09-2002;30;Set-02;9;SEP;September;No;;2002-Q3;3;2002-S2;2;2002;--
274;01-10-2002;1;Out-02;10;OCT;October;No;;2002-Q4;4;2002-S2;2;2002;--
275;02-10-2002;2;Out-02;10;OCT;October;No;;2002-Q4;4;2002-S2;2;2002;--
276;03-10-2002;3;Out-02;10;OCT;October;No;;2002-Q4;4;2002-S2;2;2002;--
277;04-10-2002;4;Out-02;10;OCT;October;No;;2002-Q4;4;2002-S2;2;2002;--
